last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Rivera, Rene,425784,51,17.1,45.1,110.0,89.2,94.2,81.0,432,213,407,23,45.1,6,11.8,6.6
Aguilar, Jesus,542583,359,16.2,38.2,110.0,89.8,93.8,85.1,433,198,396,153,42.6,41,11.4,7.2
Almora Jr., Albert,546991,369,7.7,30.1,110.0,85.6,89.0,84.8,435,147,385,101,27.4,5,1.4,1.0
Villanueva, Christian,570799,248,21.0,34.3,110.0,86.6,90.6,85.2,434,188,392,75,30.2,24,9.7,6.3
Hicks, Aaron,543305,377,12.5,34.2,110.0,88.9,93.3,85.1,417,182,388,162,43.0,33,8.8,5.7
Reynolds, Mark,448602,145,18.3,34.5,109.9,89.1,92.4,86.8,449,182,406,57,39.3,15,10.3,6.4
Albies, Ozzie,645277,527,15.5,34.0,109.9,86.3,91.7,81.6,427,176,389,155,29.4,25,4.7,3.7
Maile, Luke,571912,137,11.1,30.7,109.9,89.3,93.2,87.2,418,158,381,59,43.1,7,5.1,3.0
Rendon, Anthony,543685,455,17.7,39.8,109.9,90.6,93.7,88.7,430,200,395,203,44.6,47,10.3,7.9
Realmuto, J.T.,592663,377,14.4,39.8,109.8,88.9,92.4,86.0,434,177,406,154,40.8,34,9.0,6.4
Souza Jr., Steven,519306,166,16.2,35.5,109.8,88.7,91.9,87.7,450,179,401,66,39.8,13,7.8,4.8
Camargo, Johan,622666,359,12.5,31.2,109.7,88.0,91.0,86.8,431,166,389,121,33.7,18,5.0,3.4
Shaw, Chris,622046,32,12.3,28.1,109.7,87.8,90.3,83.7,468,182,468,12,37.5,2,6.3,3.2
Simmons, Andrelton,592743,516,7.7,28.5,109.7,87.8,92.0,86.6,402,149,382,187,36.2,21,4.1,3.5
Broxton, Keon,542979,50,2.7,30.0,109.7,84.0,92.6,77.5,442,143,398,15,30.0,3,6.0,3.4
Pina, Manny,444489,249,13.8,37.3,109.7,84.7,90.4,80.9,428,169,409,66,26.5,13,5.2,3.9
Andrus, Elvis,462101,331,8.8,30.8,109.7,87.2,90.0,86.3,428,152,404,101,30.5,14,4.2,3.3
Perez, Hernan,541650,246,10.9,34.1,109.6,87.3,91.2,85.5,441,170,409,79,32.1,12,4.9,3.6
Freeman, Freddie,518692,492,14.5,44.9,109.6,89.1,93.7,83.0,441,190,402,196,39.8,46,9.3,6.5
Kendrick, Howie,435062,124,7.9,36.3,109.6,90.2,95.2,86.6,434,161,412,55,44.4,6,4.8,3.8
Duvall, Adam,594807,268,22.6,31.0,109.6,89.0,93.5,85.6,441,202,392,110,41.0,28,10.4,6.6
Rosario, Amed,642708,441,7.2,32.7,109.5,87.3,90.4,85.9,437,151,405,141,32.0,17,3.9,2.9
Benintendi, Andrew,643217,482,12.6,37.6,109.5,88.4,91.9,84.8,437,182,394,161,33.4,31,6.4,4.7
Carpenter, Matt,572761,410,20.4,44.4,109.5,89.6,94.4,81.0,432,231,389,183,44.6,56,13.7,8.3
Choo, Shin-Soo,425783,407,6.1,35.9,109.5,89.0,95.2,83.7,447,164,404,163,40.0,45,11.1,6.8
Murphy, Tom,608596,49,20.8,40.8,109.5,85.6,90.6,78.2,435,188,422,12,24.5,3,6.1,3.1
Eaton, Adam,594809,257,7.2,33.9,109.4,85.8,90.3,82.9,408,152,396,78,30.4,8,3.1,2.2
Castro, Starlin,516770,475,8.3,32.0,109.4,88.5,91.9,87.1,427,154,400,172,36.2,33,6.9,5.1
Gregorius, Didi,544369,445,15.6,32.8,109.4,86.5,90.8,84.5,430,180,379,136,30.6,21,4.7,3.7
Hernandez, Cesar,514917,454,9.4,30.0,109.4,84.2,88.8,81.4,441,159,393,127,28.0,19,4.2,2.7
Choi, Ji-Man,596847,137,13.6,35.8,109.4,90.0,94.9,87.0,460,173,409,58,42.3,16,11.7,7.2
McKinney, Billy,641856,87,18.7,41.4,109.4,88.8,93.1,86.6,411,193,399,33,37.9,7,8.0,5.3
Calhoun, Kole,594777,364,12.0,34.3,109.4,90.4,94.4,86.4,436,181,403,156,42.9,34,9.3,6.2
Brito, Socrates,593647,32,14.2,25.0,109.4,87.3,89.8,83.1,406,200,406,14,43.8,2,6.3,4.5
Torres, Gleyber,650402,315,18.8,38.7,109.4,88.7,91.2,86.8,444,196,396,116,36.8,29,9.2,6.0
LeMahieu, DJ,518934,460,5.7,31.3,109.3,91.1,93.2,89.6,439,163,399,197,42.8,24,5.2,4.1
Osuna, Jose,591741,85,9.7,32.9,109.3,89.0,93.7,84.9,420,151,411,31,36.5,6,7.1,5.4
Markakis, Nick,455976,552,10.1,38.4,109.3,90.6,92.2,90.2,429,170,398,229,41.5,17,3.1,2.4
Tellez, Rowdy,642133,50,10.6,46.0,109.3,88.7,96.4,80.6,423,191,398,20,40.0,6,12.0,8.2
Smith, Kevan,607345,154,0.3,26.0,109.3,87.9,93.0,85.6,438,126,412,54,35.1,7,4.5,3.7
Saladino, Tyler,573135,88,15.6,40.9,109.3,89.4,92.0,88.0,431,200,416,38,43.2,6,6.8,4.3
Adams, Matt,571431,233,19.0,35.6,109.3,88.7,94.6,83.5,460,193,396,92,39.5,24,10.3,7.1
Delmonico, Nicky,547170,205,14.6,34.6,109.3,86.8,90.0,85.5,410,175,386,70,34.1,12,5.9,3.8
Cuevas, Noel,571595,122,10.4,28.7,109.3,85.2,90.4,83.5,403,154,383,33,27.0,2,1.6,1.3
Mahtook, Mikie,543484,160,12.1,28.1,109.3,87.6,93.1,84.1,445,162,399,56,35.0,10,6.3,4.0
Bumgarner, Madison,518516,25,16.6,24.0,109.2,91.0,94.2,90.5,379,173,,13,52.0,0,0.0,0.0
Arenado, Nolan,571448,475,15.3,35.8,109.2,89.7,94.4,85.8,464,184,408,192,40.4,35,7.4,5.2
Beltre, Adrian,134181,345,13.7,39.7,109.2,88.7,91.8,85.6,439,187,399,127,36.8,22,6.4,4.6
Higashioka, Kyle,543309,56,28.0,30.4,109.2,88.4,92.0,85.2,401,219,377,17,30.4,6,10.7,7.6
Hundley, Nick,460026,197,15.6,38.6,109.2,88.9,92.2,86.4,432,176,377,78,39.6,13,6.6,4.3
Gamel, Ben,592325,197,7.2,36.0,109.1,88.7,90.6,87.0,402,155,369,66,33.5,6,3.0,2.0
Buxton, Byron,621439,63,12.7,20.6,109.1,85.7,91.9,82.9,339,148,,17,27.0,1,1.6,1.1
Kingery, Scott,664068,331,16.8,38.7,109.1,85.5,90.3,79.1,405,188,378,102,30.8,17,5.1,3.5
Kratz, Erik,456124,166,12.7,28.3,109.1,89.5,92.1,88.3,433,168,404,65,39.2,8,4.8,3.7
Gomes, Yan,543228,287,18.5,41.8,109.1,88.9,92.3,85.1,435,200,391,111,38.7,24,8.4,5.5
Pearce, Steve,456665,176,11.9,35.8,109.0,89.4,94.7,85.0,438,175,392,69,39.2,20,11.4,8.0
Castro, Jason,488771,38,8.2,34.2,109.0,86.8,91.6,85.4,416,151,416,10,26.3,2,5.3,2.7
Mesoraco, Devin,519023,193,20.6,26.9,109.0,86.6,92.1,82.9,416,172,393,55,28.5,12,6.2,4.4
Sanchez, Adrian,506703,50,8.1,36.0,109.0,86.0,89.9,84.1,400,153,,14,28.0,3,6.0,5.1
Bruce, Jay,457803,245,21.2,37.6,109.0,88.4,92.6,83.9,412,205,390,84,34.3,22,9.0,6.1
Polanco, Jorge,593871,244,15.5,37.7,109.0,83.9,88.7,79.8,411,180,379,68,27.9,9,3.7,2.7
Arroyo, Christian,624414,37,0.0,21.6,109.0,91.9,97.1,90.9,425,104,425,21,56.8,3,8.1,5.1
Gordon, Alex,460086,383,10.9,36.6,109.0,88.5,93.4,84.3,422,170,399,151,39.4,26,6.8,4.6
LaMarre, Ryan,534606,115,10.4,35.7,108.9,87.1,92.4,84.7,389,161,377,38,33.0,4,3.5,2.2
Maldonado, Martin,455117,279,14.2,31.5,108.9,84.7,89.6,81.4,425,168,397,74,26.5,14,5.0,3.5
Escobar, Eduardo,500871,448,18.8,39.5,108.8,86.6,90.8,82.4,447,197,400,122,27.2,37,8.3,5.9
Garcia, Leury,544725,194,5.3,34.0,108.8,85.7,90.9,82.0,421,142,399,61,31.4,5,2.6,1.8
Crawford, Brandon,543063,414,11.1,37.2,108.8,87.3,90.6,85.6,436,168,386,137,33.1,15,3.6,2.5
Hermosillo, Michael,641684,40,11.6,22.5,108.8,83.5,95.0,79.6,391,113,391,14,35.0,2,5.0,3.2
Smith, Dominic,642086,96,17.2,40.6,108.8,87.7,93.0,81.2,417,186,391,30,31.3,6,6.3,4.0
Young, Chris,455759,78,24.1,30.8,108.8,83.3,88.5,80.8,409,190,387,22,28.2,5,6.4,3.9
Calhoun, Willie,641432,77,11.6,33.8,108.7,87.2,90.2,84.1,417,178,413,18,23.4,2,2.6,1.9
Martin, Russell,431145,207,10.1,22.7,108.7,90.5,95.4,89.8,424,147,389,88,42.5,13,6.3,3.7
Chacin, Jhoulys,468504,48,2.0,10.4,108.7,76.7,94.5,72.8,348,79,,8,16.7,0,0.0,0.0
Peraza, Jose,606299,570,13.4,38.2,108.7,83.9,87.1,81.3,426,177,391,134,23.5,14,2.5,2.0
Fowler, Dustin,641583,147,15.0,35.4,108.6,88.3,88.8,90.0,437,172,404,59,40.1,6,4.1,3.0
Jackson, Austin,457706,215,10.6,34.0,108.6,86.8,90.4,84.4,419,158,404,70,32.6,6,2.8,1.6
Brantley, Michael,488726,517,9.5,39.1,108.6,89.9,91.9,89.0,424,169,392,194,37.5,19,3.7,3.0
Drury, Brandon,592273,57,13.4,38.6,108.6,88.2,93.6,83.1,401,168,,20,35.1,4,7.0,4.7
Meadows, Austin,640457,140,13.7,34.3,108.6,88.2,91.2,86.7,420,181,398,55,39.3,9,6.4,4.7
Cabrera, Melky,466320,217,9.4,33.6,108.6,90.4,90.5,92.4,407,154,386,89,41.0,5,2.3,1.8
Grossman, Robbie,543257,320,14.5,34.4,108.6,86.8,89.7,85.5,422,173,394,89,27.8,7,2.2,1.5
Briceno, Jose,593993,83,9.7,33.7,108.6,86.1,89.5,82.3,423,171,404,29,34.9,4,4.8,3.1
Pollock, A.J.,572041,321,13.2,31.5,108.6,89.0,93.7,84.5,455,183,405,130,40.5,32,10.0,7.0
Orlando, Paulo,449181,65,11.2,24.6,108.6,88.3,89.6,88.8,359,140,,22,33.8,1,1.5,1.1
Canha, Mark,592192,279,15.5,36.6,108.5,87.0,92.7,83.0,434,182,400,96,34.4,25,9.0,6.1
Luplow, Jordan,656669,74,16.6,32.4,108.5,85.6,91.6,82.1,441,165,411,18,24.3,5,6.8,4.9
Swanson, Dansby,621020,365,12.9,32.1,108.5,86.8,91.9,83.2,438,168,399,124,34.0,15,4.1,2.8
Hernandez, Gorkys,491676,307,11.8,30.0,108.5,86.2,92.4,83.1,433,148,403,109,35.5,23,7.5,5.1
Castillo, Welington,456078,124,15.5,34.7,108.5,90.4,93.2,88.7,430,185,392,57,46.0,12,9.7,6.6
Gennett, Scooter,571697,467,13.3,37.5,108.5,86.7,91.0,82.5,420,179,377,149,31.9,27,5.8,4.2
Flores, Wilmer,527038,353,17.0,33.1,108.5,86.4,89.7,85.8,422,180,384,94,26.6,10,2.8,2.3
Robles, Victor,645302,48,16.0,37.5,108.5,82.3,88.7,73.9,427,179,391,11,22.9,3,6.3,4.5
Reyes, Victor,622682,168,6.0,31.5,108.5,84.0,88.4,81.6,399,138,390,44,26.2,5,3.0,2.3
Mondesi, Adalberto,609275,202,11.8,31.7,108.4,87.4,94.6,81.1,437,178,411,74,36.6,21,10.4,7.2
Lamb, Jake,571875,146,4.9,31.5,108.4,88.2,91.8,84.9,422,161,388,54,37.0,9,6.2,3.8
Barreto, Franklin,620439,44,23.2,29.5,108.4,87.9,95.9,80.7,444,196,407,19,43.2,5,11.4,6.7
Severino, Pedro,600474,144,14.1,31.3,108.3,83.2,89.8,79.0,428,150,427,28,19.4,3,2.1,1.4
Granderson, Curtis,434158,239,16.3,44.8,108.3,88.3,92.3,82.3,423,202,384,82,34.3,15,6.3,3.7
Dean, Austin,621573,91,14.6,31.9,108.3,87.5,92.1,84.9,410,174,399,31,34.1,5,5.5,4.1
O'Hearn, Ryan,656811,104,17.7,33.7,108.3,91.4,95.6,86.8,431,197,392,46,44.2,13,12.5,7.6
Cabrera, Asdrubal,452678,429,14.3,33.1,108.3,89.6,93.5,86.8,425,178,385,167,38.9,31,7.2,5.2
White, Tyler,643603,162,17.0,31.5,108.2,89.0,93.7,85.5,417,192,382,59,36.4,15,9.3,6.3
Slater, Austin,596103,131,2.3,25.2,108.2,86.9,88.6,87.4,425,117,425,45,34.4,3,2.3,1.3
Russell, Addison,608365,324,12.0,36.7,108.2,86.3,90.0,83.8,409,174,379,86,26.5,7,2.2,1.5
Hedges, Austin,595978,214,15.8,30.8,108.2,85.4,92.0,80.5,421,179,393,64,29.9,14,6.5,4.3
Pena, Francisco,506747,92,7.1,27.2,108.2,85.0,87.8,84.4,430,135,424,25,27.2,3,3.3,2.1
Mathis, Jeff,425772,132,14.2,37.1,108.2,86.6,92.2,80.8,414,183,386,44,33.3,4,3.0,1.8
Culberson, Charlie,518586,212,7.3,33.5,108.2,84.1,90.5,80.8,413,149,396,65,30.7,11,5.2,3.4
Gonzalez, Adrian,408236,137,11.6,33.6,108.1,88.6,92.7,83.8,430,166,402,52,38.0,9,6.6,4.8
Swihart, Blake,596119,135,13.9,34.1,108.1,86.0,88.7,85.2,403,164,373,36,26.7,7,5.2,3.4
Panik, Joe,605412,333,9.7,32.7,108.1,86.5,88.4,86.4,400,154,374,98,29.4,9,2.7,2.3
Lowrie, Jed,476704,471,17.1,38.2,108.1,89.0,91.9,86.2,412,197,380,177,37.6,25,5.3,3.7
Jones, Adam,430945,491,13.0,35.6,108.1,88.0,91.5,86.2,422,174,396,162,33.0,24,4.9,3.9
Lugo, Dawel,608475,74,1.4,23.0,108.1,86.2,94.0,83.9,404,119,404,21,28.4,1,1.4,1.0
Barnes, Austin,605131,134,4.4,28.4,108.1,86.3,88.8,85.8,419,126,403,41,30.6,5,3.7,2.1
Rosario, Eddie,592696,458,17.4,33.0,108.1,87.3,92.5,81.9,418,186,378,152,33.2,38,8.3,6.4
Posey, Buster,457763,347,10.3,35.2,108.1,89.1,91.9,87.0,421,165,396,121,34.9,18,5.2,4.0
Span, Denard,452655,365,12.6,36.7,108.1,86.5,89.3,85.2,415,169,391,108,29.6,10,2.7,2.0
Mullins, Cedric,656775,135,7.5,24.4,108.0,85.0,91.9,82.2,412,146,400,38,28.1,4,3.0,2.1
Gurriel, Yuli,493329,481,11.5,32.6,107.9,89.3,89.7,91.0,427,165,378,174,36.2,9,1.9,1.6
Joyce, Matt,459964,157,14.4,38.2,107.9,87.1,92.8,79.6,416,185,398,50,31.8,11,7.0,4.5
Bird, Greg,595885,198,18.9,33.8,107.9,86.9,93.6,79.2,407,197,381,66,33.3,21,10.6,6.8
Murphy, John Ryan,571974,140,20.7,30.7,107.9,86.0,93.0,79.0,434,194,404,44,31.4,14,10.0,6.3
Herrmann, Chris,543302,53,17.5,35.8,107.9,90.0,95.1,82.7,410,194,401,28,52.8,4,7.5,4.6
Kiner-Falefa, Isiah,643396,300,6.1,28.7,107.9,83.8,86.1,83.2,393,132,373,71,23.7,2,0.7,0.5
Moran, Colin,592567,340,10.5,38.2,107.8,88.0,92.4,84.7,416,165,399,120,35.3,18,5.3,3.9
Peterson, Jace,607054,154,10.2,31.8,107.7,86.7,91.5,82.6,415,156,400,50,32.5,5,3.2,2.0
Gyorko, Jedd,576397,278,15.2,35.6,107.7,87.3,92.1,81.8,425,181,390,87,31.3,21,7.6,5.2
Hanson, Alen,593700,229,12.8,32.8,107.7,82.8,86.9,79.8,413,156,384,49,21.4,9,3.9,2.9
Valbuena, Luis,472528,168,18.0,29.8,107.6,89.0,92.7,85.3,440,191,410,68,40.5,17,10.1,5.9
Martinez, Victor,400121,425,14.0,35.3,107.6,87.8,90.8,85.5,416,181,384,129,30.4,20,4.7,3.9
Mauer, Joe,408045,404,4.5,37.4,107.6,90.7,94.9,87.6,427,154,406,174,43.1,20,5.0,3.7
Bregman, Alex,608324,512,16.9,37.9,107.6,89.2,93.4,86.1,420,190,384,204,39.8,39,7.6,5.5
Spangenberg, Cory,605486,193,6.1,34.7,107.6,86.4,93.1,81.2,413,158,386,74,38.3,11,5.7,3.3
Perez, Carlos,542208,51,22.8,43.1,107.6,84.6,89.1,77.6,379,203,351,10,19.6,0,0.0,0.0
Martinez, Carlos,593372,25,-5.7,28.0,107.6,81.6,91.3,77.8,407,112,407,9,36.0,1,4.0,2.8
Belt, Brandon,474832,294,22.5,43.9,107.6,86.1,90.5,79.6,429,217,389,93,31.6,31,10.5,6.8
Rivera, Yadiel,592680,90,3.7,23.3,107.6,89.7,92.4,89.6,402,124,402,25,27.8,4,4.4,2.5
Urshela, Gio,570482,33,18.2,18.2,107.5,85.7,83.5,90.9,397,144,359,10,30.3,2,6.1,4.3
Fowler, Dexter,451594,218,12.6,30.7,107.5,85.3,89.1,82.6,404,171,377,61,28.0,7,3.2,2.1
Chisenhall, Lonnie,502082,73,20.0,38.4,107.5,84.3,88.7,80.7,376,199,366,22,30.1,2,2.7,2.1
Zobrist, Ben,450314,403,8.5,35.0,107.5,89.4,91.7,87.9,423,163,386,154,38.2,12,3.0,2.3
d'Arnaud, Chase,488818,58,19.9,36.2,107.5,88.2,91.3,83.8,410,201,381,19,32.8,3,5.2,3.0
Votto, Joey,458015,405,13.3,45.9,107.5,88.1,92.5,81.4,417,192,383,141,34.8,27,6.7,4.3
Duggar, Steven,621453,98,12.8,36.7,107.4,84.7,90.3,80.2,386,162,378,30,30.6,4,4.1,2.6
Astudillo, Willians,553902,91,12.2,38.5,107.4,87.2,88.1,87.1,405,180,386,27,29.7,5,5.5,5.2
Arcia, Orlando,606115,263,3.3,24.3,107.4,85.6,90.6,83.7,403,121,384,76,28.9,6,2.3,1.6
Kipnis, Jason,543401,422,17.0,34.6,107.4,86.1,90.6,81.6,417,191,382,129,30.6,28,6.6,4.7
Quinn, Roman,596451,97,6.4,28.9,107.4,85.0,87.7,83.5,393,149,383,27,27.8,2,2.1,1.4
Reyes, Jose,408314,190,12.4,28.4,107.3,84.5,89.0,82.4,413,150,381,45,23.7,5,2.6,2.0
Valaika, Pat,642162,94,13.8,30.9,107.3,82.9,88.4,78.5,439,169,414,20,21.3,3,3.2,2.3
Chirinos, Robinson,455139,222,21.6,36.5,107.3,87.8,93.3,80.6,456,206,393,87,39.2,24,10.8,5.6
Lester, Jon,452657,43,-1.9,23.3,107.2,78.9,94.6,74.3,406,112,406,14,32.6,2,4.7,3.1
Marrero, Deven,571918,56,6.0,32.1,107.2,84.2,91.0,79.2,395,136,,14,25.0,3,5.4,3.5
Ortega, Rafael,542364,110,12.3,30.9,107.2,84.5,85.4,84.6,374,153,,25,22.7,0,0.0,0.0
Molina, Yadier,425877,399,15.4,37.6,107.2,88.1,92.3,84.3,438,184,394,134,33.6,22,5.5,4.4
Urena, Richard,620446,69,11.7,31.9,107.2,85.6,90.1,83.6,395,153,376,22,31.9,1,1.4,0.9
Martini, Nick,605361,117,2.9,36.8,107.2,88.0,91.6,84.8,400,153,336,47,40.2,3,2.6,1.7
Gallagher, Cam,595956,50,20.0,32.0,107.2,84.9,87.0,85.0,395,187,395,12,24.0,4,8.0,5.8
Stewart, Christin,621514,48,17.4,31.3,107.1,86.9,89.6,84.6,407,185,380,13,27.1,3,6.3,4.2
Semien, Marcus,543760,510,15.3,35.1,107.1,86.7,91.3,82.9,428,177,393,163,32.0,23,4.5,3.3
Owings, Chris,572008,208,12.9,33.2,107.1,87.4,92.2,83.0,419,175,404,70,33.7,12,5.8,3.9
Wong, Kolten,543939,302,6.8,26.5,107.1,84.4,91.1,80.1,409,149,386,93,30.8,10,3.3,2.5
Adrianza, Ehire,501303,259,14.4,34.4,107.1,84.7,90.3,78.9,405,182,387,79,30.5,13,5.0,3.6
Strasburg, Stephen,544931,37,-14.0,13.5,107.1,77.8,97.8,73.5,356,75,,10,27.0,1,2.7,2.0
Dyson, Jarrod,502481,176,7.3,28.4,107.0,81.1,88.2,76.1,408,141,385,34,19.3,3,1.7,1.3
Walker, Neil,435522,264,13.1,42.8,107.0,87.6,92.4,82.0,436,192,402,88,33.3,16,6.1,4.0
Ervin, Phillip,640447,162,16.2,37.7,107.0,85.4,90.8,80.6,427,177,394,56,34.6,7,4.3,2.8
Young Jr., Eric,458913,82,1.8,29.3,107.0,82.6,88.1,80.5,423,129,423,20,24.4,1,1.2,0.9
Cozart, Zack,446359,185,17.1,39.5,107.0,85.4,88.4,84.6,397,179,384,51,27.6,4,2.2,1.6
Robertson, Daniel,621002,207,7.7,31.9,107.0,86.6,90.4,84.8,431,146,397,72,34.8,11,5.3,3.2
Urias, Luis,649966,39,3.4,30.8,107.0,86.7,93.7,83.6,434,123,388,9,23.1,1,2.6,1.9
Bourjos, Peter,488721,30,2.7,26.7,106.9,84.5,92.7,78.2,383,151,364,10,33.3,1,3.3,2.1
Greinke, Zack,425844,52,6.8,25.0,106.9,80.7,89.6,74.2,385,151,,13,25.0,2,3.8,2.8
Murphy, Daniel,502517,291,16.3,42.3,106.9,87.6,89.4,87.2,425,195,394,83,28.5,14,4.8,4.0
Florimon, Pedro,465753,41,16.4,39.0,106.9,90.2,93.6,86.6,417,188,406,18,43.9,2,4.9,2.6
Fernandez, Jose Miguel,628336,101,11.7,36.6,106.9,85.4,87.7,84.1,401,156,382,37,36.6,3,3.0,2.4
Ellis, A.J.,454560,119,10.5,35.3,106.8,88.7,93.6,84.2,402,165,398,45,37.8,5,4.2,2.7
Tucker, Kyle,663656,51,15.5,21.6,106.8,90.7,92.9,91.7,402,140,,23,45.1,2,3.9,2.8
Blandino, Alex,607468,89,8.3,28.1,106.8,86.2,88.9,84.2,382,155,370,28,31.5,1,1.1,0.7
Ward, Taylor,621493,90,15.6,42.2,106.7,86.4,93.0,79.5,431,191,403,29,32.2,7,7.8,4.8
Leon, Sandy,506702,194,15.5,29.9,106.7,83.6,88.3,79.6,401,175,393,50,25.8,9,4.6,3.1
Reyes, Pablo,622569,47,7.8,29.8,106.7,90.5,92.9,89.5,390,160,374,23,48.9,4,8.5,6.3
Blanco, Gregor,453923,133,14.4,37.6,106.7,83.5,88.9,79.3,399,162,389,31,23.3,5,3.8,2.5
Flaherty, Ryan,475247,122,-0.2,28.7,106.7,86.4,91.9,83.5,428,113,428,33,27.0,3,2.5,1.6
Bonifacio, Jorge,593528,168,18.6,39.9,106.6,85.3,88.6,82.1,410,188,375,48,28.6,13,7.7,4.8
Rojas, Miguel,500743,426,9.0,35.4,106.6,84.1,87.2,83.2,431,145,390,101,23.7,4,0.9,0.8
Guillorme, Luis,641645,64,5.5,31.3,106.6,85.9,86.8,85.8,355,139,,20,31.3,0,0.0,0.0
Lucroy, Jonathan,518960,357,13.4,37.0,106.6,86.7,90.1,85.3,408,169,386,98,27.5,8,2.2,1.8
Beckham, Gordon,493596,35,11.5,22.9,106.6,84.2,89.3,79.5,390,182,,7,20.0,2,5.7,4.0
Dahl, David,621311,183,13.9,35.0,106.6,88.7,93.0,84.7,438,191,408,71,38.8,17,9.3,6.3
Hendricks, Kyle,543294,33,0.7,12.1,106.6,77.5,89.5,73.6,383,91,,5,15.2,0,0.0,0.0
Gimenez, Chris,460269,43,13.6,23.3,106.6,88.9,92.8,88.1,402,159,400,14,32.6,3,7.0,4.5
Machado, Dixon,553988,175,10.7,34.3,106.6,84.9,89.7,82.1,387,159,377,45,25.7,6,3.4,2.6
Herrera, Dilson,599096,48,21.8,43.8,106.6,84.4,92.7,71.4,420,228,413,12,25.0,6,12.5,6.2
Barnhart, Tucker,571466,370,11.7,35.7,106.6,85.9,90.9,82.5,421,162,382,112,30.3,13,3.5,2.5
Casali, Curt,592200,110,13.5,36.4,106.6,86.0,90.4,82.5,391,174,372,34,30.9,5,4.5,3.2
Szczur, Matt,519333,52,14.0,30.8,106.5,83.2,88.4,83.2,401,159,401,12,23.1,1,1.9,1.2
Iglesias, Jose,578428,390,11.9,31.5,106.5,84.3,88.2,83.2,402,153,386,87,22.3,5,1.3,1.1
Rodriguez, Ronny,500135,154,11.3,27.9,106.5,83.9,90.3,79.8,402,160,380,46,29.9,5,3.2,2.4
Phegley, Josh,572033,68,14.4,30.9,106.5,84.9,91.1,78.3,384,176,375,15,22.1,2,2.9,2.0
Turner, Justin,457759,313,18.3,44.7,106.5,89.1,91.4,86.7,430,204,399,115,36.7,24,7.7,5.6
Utley, Chase,400284,131,15.7,32.8,106.4,87.3,90.5,84.2,394,178,358,42,32.1,3,2.3,1.6
Merrifield, Whit,593160,526,16.6,41.1,106.4,86.5,91.1,82.0,430,183,401,163,31.0,24,4.6,3.4
Sisco, Chance,642082,94,13.4,30.9,106.4,87.8,92.8,84.2,411,170,397,27,28.7,4,4.3,2.2
Flaherty, Jack,656427,30,-10.5,13.3,106.3,77.7,89.6,74.0,328,88,,6,20.0,0,0.0,0.0
DeShields, Delino,592261,262,3.7,27.9,106.3,79.6,86.9,75.1,386,143,374,38,14.5,3,1.1,0.8
Lopez, Raffy,607257,61,19.3,44.3,106.3,86.7,91.3,77.8,418,209,415,17,27.9,4,6.6,3.4
Ahmed, Nick,605113,413,11.3,36.3,106.2,86.5,91.5,81.8,438,175,393,124,30.0,21,5.1,3.7
Romine, Andrew,461865,84,8.5,28.6,106.2,78.8,82.2,76.7,373,143,,14,16.7,1,1.2,0.8
Prado, Martin,445988,162,9.1,34.0,106.2,87.5,87.7,88.2,400,155,374,42,25.9,4,2.5,1.9
Kinsler, Ian,435079,426,17.8,36.6,106.1,85.3,89.0,83.4,412,177,389,110,25.8,13,3.1,2.4
Forsythe, Logan,523253,289,10.4,29.4,106.1,87.3,89.6,86.4,423,151,393,86,29.8,3,1.0,0.7
Motter, Taylor,600301,26,4.5,23.1,106.1,80.8,98.5,72.8,393,122,393,10,38.5,1,3.8,2.6
Freeland, Kyle,607536,29,-2.2,17.2,106.1,69.1,91.8,62.4,386,122,,4,13.8,0,0.0,0.0
Sucre, Jesus,491696,159,9.7,28.9,106.1,84.7,85.9,85.5,383,154,383,39,24.5,1,0.6,0.5
Williams, Mason,592863,96,7.3,31.3,106.1,85.4,90.5,81.1,418,154,403,33,34.4,2,2.1,1.5
Riddle, JT,595375,245,7.3,34.3,106.1,87.0,91.9,84.2,420,151,391,71,29.0,13,5.3,3.9
Mikolas, Miles,571945,36,0.4,16.7,106.1,74.4,90.0,71.7,426,138,417,6,16.7,2,5.6,2.8
Stevenson, Andrew,664057,56,2.8,33.9,106.0,83.8,92.1,76.1,401,160,401,20,35.7,2,3.6,2.3
Suzuki, Kurt,435559,310,18.2,33.2,106.0,87.2,91.2,84.0,415,182,382,107,34.5,12,3.9,3.1
Jansen, Danny,643376,65,21.1,30.8,106.0,85.1,91.0,79.0,400,195,388,18,27.7,6,9.2,6.3
Holt, Brock,571788,250,6.3,33.2,105.9,87.5,90.9,85.6,426,152,402,77,30.8,9,3.6,2.5
Gray, Jon,592351,28,-10.1,14.3,105.9,72.1,89.0,66.5,398,110,,4,14.3,0,0.0,0.0
Stewart, DJ,621466,29,16.9,37.9,105.9,85.1,88.9,81.2,382,195,366,9,31.0,2,6.9,4.3
Hechavarria, Adeiny,588751,247,13.4,34.8,105.9,86.6,89.6,84.5,403,176,380,82,33.2,6,2.4,1.9
Reddick, Josh,502210,359,18.2,32.0,105.9,85.2,89.9,82.0,434,179,378,95,26.5,14,3.9,2.9
Galvis, Freddy,520471,462,13.2,32.9,105.8,87.5,91.8,83.7,419,177,382,131,28.4,18,3.9,2.7
